축제ID	축제명	개최장소	축제시작일자	축제종료일자	축제내용	홈페이지주소	소재지도로명주소	소재지지번주소	위도	경도
1078	제34회 율곡문화제	파주 이이 유적지 등	2024-10-12	2024-10-13	추향제+방방례+유가행렬 등	홈페이지 정보 없음	경기도 파주시 법원읍 자운서원로 204	경기도 파주시 법원읍 동문리 39	37.86613553	126.8709854
1248	합천황토한우축제	합천군민체육공원	2024-10-11	2024-10-13	합천의 자랑인 황토한우의 맛과 품격을 알리는 축제	홈페이지 정보 없음	주소 X	경상남도 합천군 합천읍 합천리 896-15	35.5600925	128.1601151
1278	동래읍성역사축제	동래문화회관+읍성광장+온천장 일원	2024-10-11	2024-10-13	동래부사행차길놀이+동래성저전투재현 뮤지컬+동래세가닥줄다리기+동래장터 체험 등	https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169	부산광역시 동래구 문화로 80(명륜동)	부산광역시 동래구 명륜동 137	35.21195069	129.090546
1286	2024 관악강감찬축제	낙성대공원+별빛내린천	2024-10-11	2024-10-13	고려 명장 강감찬 장군의 호국정신을 기리고자 개최되는 서울의 대표적인 역사문화축제이자 관악구민이 함께 만들고 즐기는 축제	https://ggcfest.com/	서울특별시 관악구 낙성대로 77	서울특별시 관악구 봉천동 738-329	37.47197208	126.959371
1309	팜앤컬쳐페스타(농촌체험페스티벌)	김천시종합스포츠타운	2024-10-11	2024-10-13	시민에게 농촌 및 농업문화 체험 기회 제공	홈페이지 정보 없음	경상북도 김천시 운동장길 1	경상북도 김천시 삼락동 488-1	36.13969402	128.086502
1359	제11회 낙동강 구포나루 축제	화명생태공원 연꽃단지 일원	2024-10-11	2024-10-13	개막식+체험+공연+전시등	https://www.bsbukgu.go.kr/tour/index.bsbukgu?menuCd=DOM_000000402001001000	부산광역시 북구 낙동대로1570번길 33(구포동)	부산광역시 북구 구포동 1124-1	35.19688402	128.9900968
206	의좋은형제축제	의좋은 형제공원 일원	2024-10-15	2024-10-18	예산의 실존인물인 이성만·이순형제와 함께 떠나는 가족여행	https://gbfesta.kr/	충청남도 예산군 대흥면 의좋은형제길 3	충청남도 예산군 대흥면 상중리 274-1	36.60652823	126.7921951
278	제천의병제	자양영당 등	2024-10-17	2024-10-18	의병제	http://www.jecheoncc.or.kr	충청북도 제천시 의림대로 125	충청북도 제천시 중앙로2가 26-1	37.13923321	128.210774
518	제48회남명선비문화축제	한국선비문화연구원	2024-10-18	2024-10-19	남명제례+개막식+공연+경연+전시+체험행사	https://www.sancheong.go.kr/tour/contents.do?key=2002	경상남도 산청군 시천면 남명로 240번길 33	경상남도 산청군 시천면 사리 900-27	35.276319	127.846049
67	2024 수원화성 미디어아트	"화서문, 장안문, 장안공원 일대"	2024-09-28	2024-10-20	수원화성 대표 건축물에 프로젝션 맵핑/인터렉티브 미디어아트/레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼	https://www.swcf.or.kr/hlfl/	경기도 수원시 팔달구 정조로 825	경기도 수원시 팔달구 남창동 6-2	37.2818782	127.0143876
279	사하예술제	다대포해수욕장 일원	2024-10-19	2024-10-20	전시+공연+체험프로그램+연계 행사 등	https://www.saha.go.kr/tour/contents.do?mId=0202020000	부산광역시 사하구 낙동남로1233번길 25	부산광역시 사하구 하단동 1151-14	35.110059	128.9449571
982	제21회 사상강변축제	삼락생태공원	2024-10-19	2024-10-20	사상강변축제	http://www.sasangculture.or.kr/	부산광역시 사상구 낙동대로 1310번길 19(삼락동)	주소 X	35.17701002	128.9776397
1079	제19회 파주개성인삼축제	임진각 광장	2024-10-19	2024-10-20	파주개성인삼 전시 및 판매+농특산물 홍보 및 판매+각종 공연 및 체험행사 등	http://tour.paju.go.kr	경기도 파주시 문산읍 임진각로 177	경기도 파주시 문산읍 마정리 1325-1	37.88953876	126.7401859
1251	수려한합천영화제	합천영상테마파크 및 합천군일원	2024-10-18	2024-10-20	합천영상테마파크를 중심으로 영화인과 관객이 어우러지는 영화문화축제	https://www.bhiff.co.kr/default/	경상남도 합천군 용주면 합천호수로 757	주소 X	35.5490189	128.0710082
1217	광주김치축제	상무시민공원 일원	2024-10-18	2024-10-20	김치 요리 경연대회+김치만들기 체험+김치마케팅+김치 전시	http://kimchi.gwangju.go.kr	광주광역시 서구 상무공원로 101	광주광역시 서구 치평동 1162	35.1533934	126.8410957
517	제51회지리산평화제	지리산신선너들+산청공설운동장+성철공원	2024-10-09	2024-10-22	지리산산신제+평화상시상+민속행사+원혼위령제	https://www.sancheong.go.kr/tour/contents.do?key=2006	경상남도 산청군 시천면 지리산대로 520	경상남도 산청군 시천면 중산리 519	35.293748	127.754118
