"MARKETID","MARKETNAME","MARKETTYPE","ROADADDRESS","JIBUNADDRESS","OPENINGPERIOD","LATITUDE","LONGITUDE","PUBLICTOILET","PARKINGAVAILABILITY"
426,"마전시장","5일장","충청남도 금산군 추부면 마전1길 38","충청남도 금산군 추부면 마전리 547-1","4일+9일",36.19060645,127.4669757,"Y","N"
427,"마천시장","상설장","서울특별시 송파구 마천로45길 23 113호","서울특별시 송파구 마천동 140-2번지","매일",37.49808049,127.1506963,"Y","N"
428,"마천시장","5일장","경상남도 창원시 진해구 웅동로 57","경상남도 창원시 진해구 마천동 131-22","5일+10일",35.12538771,128.7828095,"Y","Y"
429,"마천전통시장","5일장","경상남도 함양군 마천면 천왕봉로 1144-2","경상남도 함양군 마천면 가흥리 609-2","5일+10일",35.3956493,127.6626812,"Y","Y"
430,"마천중앙시장","상설장","서울특별시 송파구 마천로45길 2층","서울특별시 송파구 마천동 146-7","매일",37.4984143,127.1513355,"Y","Y"
431,"마포농수산물시장","상설장","서울특별시 마포구 월드컵로 235 성산동","서울특별시 마포구 성산동 533-1","매일",37.56519935,126.8984828,"Y","Y"
432,"마포시장","상설장","서울특별시 마포구 마포대로6길 16 만리재로 23 공덕동","서울특별시 마포구 공덕동 256-5 256-30","매일",37.54539208,126.9533186,"Y","N"
433,"만덕2동 제일상가시장","상설장","부산광역시 북구 함박봉로140번길 109","부산광역시 북구 만덕2동 945-2","매일",35.20223944,129.0361289,"Y","N"
434,"만덕시장","상설장","부산광역시 북구 만덕1로24번길 8","부산광역시 북구 만덕1동 829","매일",35.21449706,129.0353711,"Y","N"
435,"만리시장","상설장","서울특별시 용산구 효창원로 270 서계동","서울특별시 용산구 서계동 260-1 만리시장","매일",37.5513334,126.963696,"Y","N"
436,"만물의거리시장","상설장","부산광역시 중구 국제시장 2길24-1","부산광역시 중구 신창동4가 10-5","매일",35.10148479,129.0285506,"Y","Y"
